time,x,y,z,gforce
1.440,0.076,0.931,0.311,0.985
1.443,0.076,0.931,0.309,0.984
1.446,0.076,0.931,0.307,0.983
1.458,0.075,0.930,0.307,0.982
1.458,0.074,0.928,0.307,0.980
1.458,0.075,0.928,0.307,0.980
1.459,0.078,0.929,0.307,0.981
1.459,0.083,0.932,0.307,0.985
1.462,0.088,0.935,0.304,0.987
1.463,0.091,0.937,0.302,0.988
1.470,0.094,0.939,0.302,0.991
1.470,0.096,0.942,0.301,0.994
1.470,0.098,0.943,0.299,0.995
1.472,0.103,0.944,0.297,0.995
1.474,0.105,0.944,0.293,0.994
1.477,0.105,0.944,0.289,0.993
1.479,0.105,0.943,0.284,0.990
1.482,0.106,0.941,0.277,0.986
1.484,0.104,0.939,0.273,0.983
1.486,0.100,0.937,0.271,0.980
1.488,0.096,0.937,0.268,0.979
1.491,0.093,0.937,0.265,0.978
1.494,0.089,0.934,0.264,0.975
1.496,0.086,0.932,0.263,0.972
1.498,0.084,0.931,0.263,0.972
1.501,0.083,0.931,0.266,0.972
1.503,0.084,0.930,0.272,0.973
1.506,0.085,0.930,0.273,0.973
1.508,0.084,0.931,0.274,0.974
1.510,0.083,0.932,0.278,0.976
1.512,0.083,0.933,0.283,0.978
1.516,0.084,0.934,0.289,0.981
1.518,0.085,0.936,0.296,0.986
1.520,0.087,0.939,0.300,0.989
1.522,0.090,0.941,0.302,0.992
1.525,0.093,0.943,0.303,0.995
1.527,0.097,0.945,0.305,0.998
1.530,0.102,0.947,0.310,1.002
1.532,0.105,0.949,0.317,1.006
1.535,0.106,0.951,0.322,1.010
1.537,0.109,0.953,0.325,1.013
1.539,0.112,0.955,0.325,1.015
1.542,0.115,0.956,0.323,1.016
1.544,0.116,0.957,0.322,1.016
1.546,0.117,0.957,0.317,1.015
1.550,0.118,0.959,0.312,1.015
1.551,0.117,0.960,0.308,1.015
1.554,0.118,0.962,0.303,1.016
1.556,0.120,0.965,0.299,1.017
1.559,0.120,0.967,0.294,1.018
1.561,0.119,0.967,0.289,1.016
1.563,0.119,0.966,0.286,1.015
1.566,0.117,0.966,0.283,1.014
1.569,0.115,0.966,0.282,1.013
1.571,0.114,0.967,0.280,1.013
1.573,0.114,0.967,0.279,1.013
1.576,0.113,0.966,0.278,1.011
1.578,0.111,0.965,0.276,1.010
1.584,0.107,0.964,0.274,1.008
1.585,0.104,0.964,0.275,1.008
1.586,0.101,0.963,0.276,1.007
1.588,0.096,0.962,0.277,1.006
1.590,0.091,0.961,0.278,1.005
1.592,0.090,0.960,0.278,1.004
1.595,0.089,0.958,0.278,1.002
1.599,0.087,0.956,0.279,1.000
1.602,0.084,0.956,0.280,1.000
1.603,0.082,0.956,0.282,1.000
1.604,0.080,0.956,0.280,0.999
1.607,0.080,0.955,0.278,0.998
1.609,0.081,0.957,0.277,1.000
1.611,0.080,0.958,0.278,1.001
1.620,0.080,0.957,0.277,1.000
1.621,0.080,0.957,0.277,1.000
1.621,0.079,0.958,0.279,1.001
1.621,0.081,0.960,0.279,1.003
1.624,0.084,0.962,0.279,1.005
1.626,0.086,0.965,0.281,1.009
1.628,0.090,0.969,0.283,1.013
1.633,0.096,0.973,0.284,1.018
1.634,0.101,0.977,0.285,1.023
1.635,0.106,0.979,0.287,1.026
1.638,0.109,0.982,0.289,1.029
1.640,0.108,0.983,0.289,1.030
1.643,0.107,0.981,0.289,1.029
1.645,0.106,0.981,0.290,1.029
1.650,0.103,0.981,0.291,1.028
1.650,0.100,0.980,0.293,1.027
1.653,0.100,0.978,0.292,1.025
1.656,0.100,0.976,0.287,1.022
1.657,0.097,0.972,0.282,1.017
1.659,0.094,0.968,0.277,1.012
1.662,0.091,0.965,0.271,1.006
1.667,0.086,0.960,0.265,1.000
1.667,0.082,0.956,0.260,0.994
1.670,0.077,0.954,0.255,0.991
1.672,0.073,0.952,0.251,0.987
1.675,0.072,0.951,0.254,0.987
1.677,0.074,0.953,0.262,0.991
